,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
126124,VAUPÉS,MITÚ (CT),EL GUAMAL,27,MASCULINO,07,07,0
127305,VAUPÉS,MITÚ (CT),CENTRO,48,MASCULINO,07,09,18
131460,VAUPÉS,MITÚ (CT),BARRIO LAS PALMERAS,36,MASCULINO,07,15,17
175768,VAUPÉS,MITÚ (CT),EL GUAMAL,33,FEMENINO,09,14,7
185232,VAUPÉS,MITÚ (CT),EL GUAMAL,61,MASCULINO,09,27,9
186787,VAUPÉS,MITÚ (CT),EL GUAMAL,24,MASCULINO,09,29,18
197610,VAUPÉS,MITÚ (CT),CENTRO,48,MASCULINO,10,14,7
16892,VAUPÉS,MITÚ (CT),VEREDA MANDI,53,MASCULINO,01,25,11
23184,VAUPÉS,MITÚ (CT),BELARMINO CORREA,36,FEMENINO,02,02,19
28764,VAUPÉS,MITÚ (CT),CENTRO,28,MASCULINO,02,09,4
67139,VAUPÉS,MITÚ (CT),CENTRO,35,MASCULINO,03,27,0
74871,VAUPÉS,MITÚ (CT),URANIA,53,MASCULINO,04,05,13
76449,VAUPÉS,MITÚ (CT),CENTRO,27,MASCULINO,04,07,0
99189,VAUPÉS,MITÚ (CT),CENTRO,19,MASCULINO,05,06,2
167079,VAUPÉS,MITÚ (CT),SAN JOSE,37,MASCULINO,07,29,18
178352,VAUPÉS,MITÚ (CT),LA ESPERANZA,52,MASCULINO,08,11,23
179190,VAUPÉS,MITÚ (CT),BRISAS,39,MASCULINO,08,12,0
207947,VAUPÉS,MITÚ (CT),LA ESPERANZA,46,MASCULINO,09,15,0
220564,VAUPÉS,MITÚ (CT),CENTRO,40,MASCULINO,09,30,8
224430,VAUPÉS,MITÚ (CT),BARRIO LA UNION,20,MASCULINO,10,04,0
226118,VAUPÉS,MITÚ (CT),VILLA ALIX,49,FEMENINO,10,06,2
230147,VAUPÉS,MITÚ (CT),LA ESPERANZA,47,MASCULINO,10,11,0
244144,VAUPÉS,MITÚ (CT),BELARMINO CORREA,18,MASCULINO,10,28,17
247121,VAUPÉS,MITÚ (CT),CENTRO,28,MASCULINO,10,31,22
255252,VAUPÉS,MITÚ (CT),BARRIO LA UNION,-,MASCULINO,11,09,20
259501,VAUPÉS,MITÚ (CT),VEREDA ARARA,47,FEMENINO,11,14,7
263354,VAUPÉS,MITÚ (CT),CENTRO,30,MASCULINO,11,18,2
283436,VAUPÉS,MITÚ (CT),SIETE DE AGOSTO,38,FEMENINO,12,10,17
287990,VAUPÉS,MITÚ (CT),BARRIO SAN FRANCISCO,41,MASCULINO,12,15,6
295865,VAUPÉS,MITÚ (CT),EL GUAMAL,54,MASCULINO,12,25,6
