,Departamento,Capital,Barrio,long,lat
100,BOLÍVAR,CARTAGENA (CT),LOS CORALES,-75.4994516,10.387380699999998
102,BOLÍVAR,CARTAGENA (CT),SANTA CLARA,-75.5032685,10.383415699999999
105,BOLÍVAR,CARTAGENA (CT),EL CAIRO,-75.5020382,10.4047526
106,BOLÍVAR,CARTAGENA (CT),ARMENIA,-75.50632940000001,10.406555
109,BOLÍVAR,CARTAGENA (CT),EL SOCORRO,-75.4795679,10.3836618
112,BOLÍVAR,CARTAGENA (CT),SAN PEDRO MARTIR,-75.4902272,10.372213499999999
114,BOLÍVAR,CARTAGENA (CT),LOS ANGELES,-75.49081770000001,10.396387599999999
115,BOLÍVAR,CARTAGENA (CT),LA CASTELLANA,-75.48678340000001,10.395089800000001
119,BOLÍVAR,CARTAGENA (CT),7 DE AGOSTO,-75.5146005,10.4379052
120,BOLÍVAR,CARTAGENA (CT),SAN FRANCISCO,-75.5159898,10.430961300000002
126,BOLÍVAR,CARTAGENA (CT),LOS CARACOLES,-75.49221930432074,10.3876785
129,BOLÍVAR,CARTAGENA (CT),MARBELLA,-75.53191954704317,10.4382105
132,BOLÍVAR,CARTAGENA (CT),LA TRONCAL,-75.49241359999999,10.3924136
133,BOLÍVAR,CARTAGENA (CT),SANTA LUCIA,-75.4785753,10.394198900000001
134,BOLÍVAR,CARTAGENA (CT),LAS GAVIOTAS,-75.4903183,10.4015437
136,BOLÍVAR,CARTAGENA (CT),ALBORNOZ,-75.5066829,10.371090800000001
139,BOLÍVAR,CARTAGENA (CT),CANAPOTE,-75.5231642,10.4398125
141,BOLÍVAR,CARTAGENA (CT),ANTONIO JOSE DE SUCRE,-75.49528029999999,10.3705204
142,BOLÍVAR,CARTAGENA (CT),CHAPACUA,-75.47796740000001,10.4012981
145,BOLÍVAR,CARTAGENA (CT),EL EDUCADOR,-75.4822428,10.3740791
146,BOLÍVAR,CARTAGENA (CT),CAMAGUEY,-75.4927035,10.3954234
148,BOLÍVAR,CARTAGENA (CT),PIEDRA DE BOLIVAR,-75.5078065,10.40237
149,BOLÍVAR,CARTAGENA (CT),VILLA SANDRA,-75.4867677,10.394260899999999
150,BOLÍVAR,CARTAGENA (CT),EL ESPINAL,-75.53603740000001,10.423145300000002
152,BOLÍVAR,CARTAGENA (CT),EL MILAGRO,-75.49180109999999,10.3830051
153,BOLÍVAR,CARTAGENA (CT),VILLA OLIMPICA,-75.49741,10.403725
155,BOLÍVAR,CARTAGENA (CT),SAN DIEGO,-75.54637852396979,10.42889065
158,BOLÍVAR,CARTAGENA (CT),FREDONIA,-75.47324429999999,10.408532699999999
164,BOLÍVAR,CARTAGENA (CT),EL REPOSO,-75.4870158,10.3740058
167,BOLÍVAR,CARTAGENA (CT),EL CABRERO,-75.54284443557336,10.43226245
168,BOLÍVAR,CARTAGENA (CT),NUEVA GRANADA,-75.506618,10.3958851
170,BOLÍVAR,CARTAGENA (CT),LAS AMERICAS,-75.50635665383211,10.46013755
171,BOLÍVAR,CARTAGENA (CT),SANTA MARIA,-75.51645909999999,10.440338800000001
176,BOLÍVAR,CARTAGENA (CT),LA MATUNA,-75.54646537408323,10.424105399999998
177,BOLÍVAR,CARTAGENA (CT),VILLA HERMOSA,-75.4842965,10.3556918
178,BOLÍVAR,CARTAGENA (CT),LA CENTRAL,-75.4909434,10.3846236
180,BOLÍVAR,CARTAGENA (CT),NUEVO PORVENIR,-75.4750054,10.4020188
182,BOLÍVAR,CARTAGENA (CT),LOS COMUNEROS,-75.52580640000001,10.4344556
184,BOLÍVAR,CARTAGENA (CT),MEMBRILLAL,-75.47641879999999,10.3344344
185,BOLÍVAR,CARTAGENA (CT),SAN PEDRO Y LIBERTAD,-75.52767370000001,10.4377851
186,BOLÍVAR,CARTAGENA (CT),URB. SIMON BOLIVAR,-75.46538699999999,10.377684599999998
187,BOLÍVAR,CARTAGENA (CT),CONTADORA,-75.48597159999998,10.39708
195,BOLÍVAR,CARTAGENA (CT),LA PAZ,-75.5199073,10.4328317
196,BOLÍVAR,CARTAGENA (CT),VILLA ROSA,-75.49817929999999,10.3670985
197,BOLÍVAR,CARTAGENA (CT),LA CAMPIÑA,-75.50085279999999,10.3945046
205,BOLÍVAR,CARTAGENA (CT),VILLA BARRAZA,-75.50440379999999,10.3691351
208,BOLÍVAR,CARTAGENA (CT),CIUDAD SEVILLA,-75.4741594,10.3895521
219,BOLÍVAR,CARTAGENA (CT),PALESTINA,-75.5223102,10.4313309
222,BOLÍVAR,CARTAGENA (CT),LAS GAVIAS,-75.4896839,10.3967179
224,BOLÍVAR,CARTAGENA (CT),JUAN XXIII,-75.5167042,10.4011543
232,BOLÍVAR,CARTAGENA (CT),NUEVA JERUSALEN,-75.4810182840005,10.37928045
238,BOLÍVAR,CARTAGENA (CT),URB. CAVIPETROL,-75.4899038,10.3927408
243,BOLÍVAR,CARTAGENA (CT),PUERTA DE HIERRO,-75.4999831,10.3567057
247,BOLÍVAR,CARTAGENA (CT),LOS CERROS,-75.51141779999999,10.3940294
256,BOLÍVAR,CARTAGENA (CT),SAN JOSE OBRERO,-75.4768917,10.4035674
257,BOLÍVAR,CARTAGENA (CT),S. JOSE DE LOS CAMPANOS,-75.455651,10.3870271
258,BOLÍVAR,CARTAGENA (CT),URB SANTILLANA DE LOS PATIOS,-75.50046878207706,10.389305300000002
260,BOLÍVAR,CARTAGENA (CT),S. PEDRO MARTIR,-75.4902272,10.372213499999999
269,BOLÍVAR,CARTAGENA (CT),BOSQUECITO,-75.5096785,10.3922552
272,BOLÍVAR,CARTAGENA (CT),ANITA ( E - 3 ),-75.4739921,10.396376199999999
286,BOLÍVAR,CARTAGENA (CT),CALAMARI,-75.4629090067084,10.3914714
305,BOLÍVAR,CARTAGENA (CT),VALENCIA,-75.46927509999999,10.3892355
309,BOLÍVAR,CARTAGENA (CT),LA CORDIALIDAD,-75.46660240000001,10.4002671
320,BOLÍVAR,CARTAGENA (CT),EL CARMEN,-75.48648680000001,10.3925879
321,BOLÍVAR,CARTAGENA (CT),EL BOSQUE,-75.5237867,10.393966
322,BOLÍVAR,CARTAGENA (CT),TESCA,-75.5019421,10.4081596
323,BOLÍVAR,CARTAGENA (CT),BOSQUE,-75.5237867,10.393966
334,BOLÍVAR,CARTAGENA (CT),LA REINA,-75.46803879999999,10.4160425
335,BOLÍVAR,CARTAGENA (CT),CERRO DE LA POPA,-75.52544109945916,10.42394735
342,BOLÍVAR,CARTAGENA (CT),SAN BERNARDO,-75.5188027,10.428721300000001
344,BOLÍVAR,CARTAGENA (CT),LA ISLITA,-75.4591832727318,10.4050146
353,BOLÍVAR,CARTAGENA (CT),LA MANGA,-75.53494394524017,10.41165795
362,BOLÍVAR,CARTAGENA (CT),PARQUE HEREDIA,-75.4617093,10.3916066
366,BOLÍVAR,CARTAGENA (CT),BERNARDO JARAMILLO,-75.5002214,10.3708291
