,Departamento,Capital,Barrio,long,lat
106,TOLIMA,IBAGUÉ (CT),SAN SIMON PARTE ALTA (4),-75.22191201210995,4.44002385
107,TOLIMA,IBAGUÉ (CT),LOS TUNJOS,-75.14818928693826,4.40391875
108,TOLIMA,IBAGUÉ (CT),BOQUERON,-75.2589495,4.4076445
113,TOLIMA,IBAGUÉ (CT),TIERRA FIRME,-75.1653479,4.452749
115,TOLIMA,IBAGUÉ (CT),CASTILLA,-75.2096573,4.4440802
120,TOLIMA,IBAGUÉ (CT),TOLIMA GRANDE,-75.1800366,4.4408566
121,TOLIMA,IBAGUÉ (CT),ARKAMONICA,-75.2036432,4.4419309
122,TOLIMA,IBAGUÉ (CT),CLARET,-75.22514140000001,4.4330069000000005
124,TOLIMA,IBAGUÉ (CT),FLORESTA,-75.1620179,4.448445099999999
132,TOLIMA,IBAGUÉ (CT),CARMENZA ROCHA,-75.2215125,4.441137
134,TOLIMA,IBAGUÉ (CT),CARACOLI,-75.2149364,4.4404441
137,TOLIMA,IBAGUÉ (CT),ARBOLEDA,-75.14840903769974,4.3980182
139,TOLIMA,IBAGUÉ (CT),LA VEGA,-75.25143609999999,4.4524057
140,TOLIMA,IBAGUÉ (CT),DIVINO NIÑO,-75.14624005196586,4.3964563499999985
141,TOLIMA,IBAGUÉ (CT),PROTECHO SALADO,-75.1314392963834,4.4539238
142,TOLIMA,IBAGUÉ (CT),VILLA CAFE,-75.18969864997575,4.4278304
144,TOLIMA,IBAGUÉ (CT),GALARZA,-75.2368972,4.430472
145,TOLIMA,IBAGUÉ (CT),SAN SIMON PARTE ALTA (3),-75.22191201210995,4.44002385
149,TOLIMA,IBAGUÉ (CT),PRADOS DEL NORTE,-75.20374620000001,4.4409282999999995
151,TOLIMA,IBAGUÉ (CT),MONTECARLO,-75.14561684678846,4.4460649000000005
152,TOLIMA,IBAGUÉ (CT),SANTOFIMIO,-75.2357601,4.430082700000001
154,TOLIMA,IBAGUÉ (CT),MODELIA,-75.1330854,4.451999
158,TOLIMA,IBAGUÉ (CT),TRINIDAD,-75.23326829999999,4.451357
159,TOLIMA,IBAGUÉ (CT),COMUNEROS,-75.1807435,4.4370398
160,TOLIMA,IBAGUÉ (CT),MATALLANA,-75.24165190000001,4.439697
162,TOLIMA,IBAGUÉ (CT),NUEVO ARMERO,-75.1735777,4.442550700000001
165,TOLIMA,IBAGUÉ (CT),SAN JORGE,-75.2254375,4.447618599999999
168,TOLIMA,IBAGUÉ (CT),SANTANDER,-75.19734945545676,4.4361893
170,TOLIMA,IBAGUÉ (CT),LA CEIBA (SALADO),-75.1450389,4.4493609
172,TOLIMA,IBAGUÉ (CT),VERSALLES,-75.20760270796738,4.43078055
175,TOLIMA,IBAGUÉ (CT),20 DE JULIO,-75.2397071,4.4537817
180,TOLIMA,IBAGUÉ (CT),EL BUNDE,-75.18136690000001,4.440535700000001
182,TOLIMA,IBAGUÉ (CT),LOS ALAMOS,-75.2430012,4.4446595
192,TOLIMA,IBAGUÉ (CT),CENTENARIO,-75.2390913,4.4476097
195,TOLIMA,IBAGUÉ (CT),VIVEROS,-75.2197566,4.445511
197,TOLIMA,IBAGUÉ (CT),ARKACENTRO,-75.20003418112202,4.43736135
199,TOLIMA,IBAGUÉ (CT),BELENCITO,-75.2382554,4.4504797
202,TOLIMA,IBAGUÉ (CT),PALERMO,-75.18534050000001,4.436246
205,TOLIMA,IBAGUÉ (CT),LOS ANGELES,-75.2032219,4.4559175
206,TOLIMA,IBAGUÉ (CT),EL PAIS,-75.12927619999999,4.4696196
208,TOLIMA,IBAGUÉ (CT),MIRADOR LOS ALPES,-75.2150475,4.4572724
210,TOLIMA,IBAGUÉ (CT),VIA ROVIRA,-75.19724649999999,4.340459200000001
213,TOLIMA,IBAGUÉ (CT),VILLA PINZON,-75.21593680000001,4.4466741999999995
215,TOLIMA,IBAGUÉ (CT),VILLA ADRIANA,-75.24493829999999,4.4555845000000005
