,Departamento,Capital,Barrio,long,lat
58,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CARLOS PIZARRO,-72.50643050000002,7.9159725
59,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO RUDESINDO SOTO,-72.52866920000002,7.882569500000002
60,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO PRADOS I,-72.48613540000002,7.899239200000001
61,NORTE DE SANTANDER,CÚCUTA (CT),URBANIZACION SAN ISIDRO,-72.49001940000002,7.8800927
62,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LA HERMITA,-72.5204316,7.9337664
63,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO NIÑA CECI,-72.5307937,7.897303
64,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO 13 DE MARZO,-72.46685579999998,7.904897900000001
65,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO MOLINOS DEL NORTE,-72.5164243,7.9502298
66,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LAS ALMEIDAS,-72.486079,7.9064387
67,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LA UNION,-72.5080387,7.8971458
68,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO VALLES DEL RODEO,-72.53826529999998,7.877117
69,NORTE DE SANTANDER,CÚCUTA (CT),URBANIZACION SAYAGO,-72.49313959252112,7.88901315
70,NORTE DE SANTANDER,CÚCUTA (CT),AVENIDA GRAN COLOMBIA,-72.4926937,7.892533599999998
71,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO NUEVO ESCOBAL,-72.4654809,7.915968799999999
72,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CARLOS RAMIREZ PARIS,-72.5256438,7.8967292
73,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO BOCONO,-72.49640600000002,7.922035099999999
74,NORTE DE SANTANDER,CÚCUTA (CT),URBANIZACION LA ESPERANZA,-72.4871114,7.911395
75,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO BRISAS DEL PARAISO,-72.50492840000003,7.917694
76,NORTE DE SANTANDER,CÚCUTA (CT),INVASION LA FORTALEZA,-72.55489725215537,7.903722200000002
77,NORTE DE SANTANDER,CÚCUTA (CT),URBANIZACION METROPOLIS,-72.5080387,7.8971458
78,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO GERONIMO URIBE,-72.53799709999998,7.8804083
79,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CARLOS GARCIA LOZADA,-72.50403979999999,7.9135464
80,NORTE DE SANTANDER,CÚCUTA (CT),URBANIZACION MIRADOR CAMPESTRE,-72.4909625,7.8770667
81,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CAÑO LIMON,-72.51713240000002,7.9469571
82,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LA QUINTA,-72.5223772,7.9088937
83,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO ESCALABRINI,-72.5280863,7.939996099999999
84,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO MARIA AUXILIADORA,-72.46544370000002,7.897462400000001
85,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO BOGOTA,-72.48661820000002,7.877695599999999
86,NORTE DE SANTANDER,CÚCUTA (CT),CONJUNTO RESIDENCIAL ROYAL,-72.4889651,7.9140945999999985
87,NORTE DE SANTANDER,CÚCUTA (CT),URBANIZACION SAN MARTIN,-72.46944238482226,7.908423750000001
88,NORTE DE SANTANDER,CÚCUTA (CT),EXITO SAN MATEO,-72.4883367,7.8827019
89,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO BRISAS DEL PORVENIR,-72.50781440000002,7.941426299999999
90,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO MARIA PAZ,-72.5060354,7.913801400000001
91,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO BETEL,-72.54498787538839,7.9196477
92,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO EL HIGUERON,-72.46700600000001,7.9063538
93,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO BLANCO,-72.49892390000002,7.8798416
94,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CAOBOS,-72.49640600000002,7.922035099999999
95,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LA ISLA DE LA FANTASIA,-72.46278709999999,7.9134905
96,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO ALCALA,-72.4866911,7.912751299999999
97,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO COLINAS VICTORIA,-72.5225303,7.871066499999999
98,NORTE DE SANTANDER,CÚCUTA (CT),MARIA GRACIA,-72.54039374643267,7.882595350000001
99,NORTE DE SANTANDER,CÚCUTA (CT),CEMENTERIO,-72.50254179999997,7.8516106
100,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LA CONQUISTA,-72.5279401,7.946175699999999
101,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LIBERTADORES,-72.49640600000002,7.922035099999999
102,NORTE DE SANTANDER,CÚCUTA (CT),EL VIVERO,-72.5000885,7.8978667
103,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO BRISAS DE LOS ANDES,-72.5355038,7.873459599999999
104,NORTE DE SANTANDER,CÚCUTA (CT),BRISAS DEL PARAISO,-72.50492840000003,7.917694
105,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO EL CERRITO,-72.4810989,7.9537277999999985
106,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO,-72.5080387,7.8971458
107,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO VILLAS DE SAN DIEGO,-72.4646743,7.9113216
108,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LA CAROLINA,-72.46763890000003,7.8801717999999985
109,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO URAPANES,-72.48602530000002,7.910518700000001
110,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CENTRO CRISTO REY,-72.50086360529966,7.877025
