,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
207723,VICHADA,PUERTO CARREÑO (CT),LAS GRANJAS,19,MASCULINO,08,29,18
207724,VICHADA,PUERTO CARREÑO (CT),ARTURO BUENO,45,MASCULINO,09,08,18
207725,VICHADA,PUERTO CARREÑO (CT),VENTUROSA,53,MASCULINO,09,19,15
207726,VICHADA,PUERTO CARREÑO (CT),CALARCA,31,MASCULINO,10,03,0
207727,VICHADA,PUERTO CARREÑO (CT),MATEO,53,MASCULINO,10,10,13
207728,VICHADA,PUERTO CARREÑO (CT),MATEO,26,FEMENINO,10,11,3
207729,VICHADA,PUERTO CARREÑO (CT),MATEO,41,FEMENINO,10,18,18
207730,VICHADA,PUERTO CARREÑO (CT),LAS GRANJAS,44,MASCULINO,10,21,18
207731,VICHADA,PUERTO CARREÑO (CT),LAS GRANJAS,40,FEMENINO,11,02,15
207732,VICHADA,PUERTO CARREÑO (CT),SAN JOSE,40,FEMENINO,11,05,3
207733,VICHADA,PUERTO CARREÑO (CT),EL RECREO,38,FEMENINO,11,09,6
207734,VICHADA,PUERTO CARREÑO (CT),CAMILO CORTEZ,34,MASCULINO,11,20,4
207735,VICHADA,PUERTO CARREÑO (CT),CALARCA,29,FEMENINO,11,25,14
207736,VICHADA,PUERTO CARREÑO (CT),EL PUERTO,39,MASCULINO,11,26,17
207737,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,41,MASCULINO,11,26,0
207738,VICHADA,PUERTO CARREÑO (CT),ARTURO BUENO,28,FEMENINO,11,28,10
207739,VICHADA,PUERTO CARREÑO (CT),TAMARINDO,28,MASCULINO,12,18,2
207740,VICHADA,PUERTO CARREÑO (CT),EL PUERTO,27,MASCULINO,12,27,0
4454,VICHADA,PUERTO CARREÑO (CT),CAMILO CORTEZ,35,MASCULINO,01,09,21
10849,VICHADA,PUERTO CARREÑO (CT),TAMARINDO,38,FEMENINO,01,19,4
12587,VICHADA,PUERTO CARREÑO (CT),VIRGILIO BARCO,35,FEMENINO,01,22,19
35404,VICHADA,PUERTO CARREÑO (CT),EL ESTADIO,24,MASCULINO,02,25,21
39143,VICHADA,PUERTO CARREÑO (CT),CAMILO CORTEZ,44,FEMENINO,03,02,23
48384,VICHADA,PUERTO CARREÑO (CT),ACACIAS,46,MASCULINO,03,16,10
48385,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,22,FEMENINO,03,16,16
53650,VICHADA,PUERTO CARREÑO (CT),SANTA TERESITA,57,FEMENINO,03,24,21
54201,VICHADA,PUERTO CARREÑO (CT),EL SAMPER,36,MASCULINO,03,25,20
55440,VICHADA,PUERTO CARREÑO (CT),PRIMAVERA,32,MASCULINO,03,27,23
61542,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,41,FEMENINO,04,06,1
68095,VICHADA,PUERTO CARREÑO (CT),CALARCA,35,MASCULINO,04,15,5
73480,VICHADA,PUERTO CARREÑO (CT),MATEO,23,MASCULINO,04,22,11
74206,VICHADA,PUERTO CARREÑO (CT),CALARCA,52,MASCULINO,04,23,13
74965,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,49,MASCULINO,04,24,10
74966,VICHADA,PUERTO CARREÑO (CT),PRIMAVERA,45,FEMENINO,04,24,11
89633,VICHADA,PUERTO CARREÑO (CT),EL PUERTO,33,MASCULINO,05,15,1
96058,VICHADA,PUERTO CARREÑO (CT),PRIMAVERA,18,FEMENINO,05,24,21
97571,VICHADA,PUERTO CARREÑO (CT),PRIMAVERA,41,MASCULINO,05,26,10
101997,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,49,FEMENINO,06,01,0
105222,VICHADA,PUERTO CARREÑO (CT),CALARCA,64,MASCULINO,06,06,3
105223,VICHADA,PUERTO CARREÑO (CT),EL RECREO,27,FEMENINO,06,06,21
133586,VICHADA,PUERTO CARREÑO (CT),ACACIAS,62,MASCULINO,07,18,22
146890,VICHADA,PUERTO CARREÑO (CT),LA PLAZUELA,29,MASCULINO,08,06,12
164606,VICHADA,PUERTO CARREÑO (CT),ALCARAVAN,28,MASCULINO,08,30,22
171561,VICHADA,PUERTO CARREÑO (CT),CALARCA,25,MASCULINO,09,08,1
174107,VICHADA,PUERTO CARREÑO (CT),CALARCA,-,MASCULINO,09,12,19
175769,VICHADA,PUERTO CARREÑO (CT),ACACIAS,35,MASCULINO,09,14,0
183734,VICHADA,PUERTO CARREÑO (CT),CALARCA,28,MASCULINO,09,25,9
191244,VICHADA,PUERTO CARREÑO (CT),ANTONIO NARIÑO,35,FEMENINO,10,05,20
191245,VICHADA,PUERTO CARREÑO (CT),ESCUDILLAS,45,FEMENINO,10,05,19
194783,VICHADA,PUERTO CARREÑO (CT),LA FLORIDA,22,MASCULINO,10,10,8
200423,VICHADA,PUERTO CARREÑO (CT),ARTURO BUENO,18,FEMENINO,10,18,19
205636,VICHADA,PUERTO CARREÑO (CT),CALARCA,35,MASCULINO,10,25,18
214961,VICHADA,PUERTO CARREÑO (CT),CALARCA,24,FEMENINO,11,06,20
226912,VICHADA,PUERTO CARREÑO (CT),LA PLAZUELA,34,FEMENINO,11,22,13
229724,VICHADA,PUERTO CARREÑO (CT),PRIMAVERA,20,FEMENINO,11,26,10
239735,VICHADA,PUERTO CARREÑO (CT),GAITAN,58,MASCULINO,12,09,11
245858,VICHADA,PUERTO CARREÑO (CT),SANTA HELENITA,36,FEMENINO,12,17,20
