,Departamento,Capital,Barrio,long,lat
3,ARAUCA,ARAUCA (CT),7 DE AGOSTO,-70.76105109756966,7.087401600000001
7,ARAUCA,ARAUCA (CT),EL CENTRO,-70.7570244,7.082459599999999
18,ARAUCA,ARAUCA (CT),LAS COROCORAS,-70.76412844458001,7.0859464999999995
21,ARAUCA,ARAUCA (CT),EL DIQUE,-70.77206328848973,7.07010195
29,ARAUCA,ARAUCA (CT),VILLA MARIA,-70.7570244,7.082459599999999
42,ARAUCA,ARAUCA (CT),PIQUETIERRA,-70.71981549293375,7.06907865
47,ARAUCA,ARAUCA (CT),VEREDA MONSERRATE,-70.7470495,7.1039898
71,ARAUCA,ARAUCA (CT),URBANIZACION PALMA REAL,-70.7570244,7.082459599999999
