,Departamento,Capital,Barrio,long,lat
96,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO VILLA CAMILA,-72.4794168,7.9035757
99,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO POLICARPA,-72.4660108,7.8845032999999995
106,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CIRCUNVALACION,-72.5132411,7.878361
109,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO DOÑA NIDIA,-72.5292117,7.8919648
114,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CERRO NORTE,-72.5090073,7.9058207
116,NORTE DE SANTANDER,CÚCUTA (CT),NUEVA SEXTA,-72.494059,7.9280217
118,NORTE DE SANTANDER,CÚCUTA (CT),URBANIZACION GARCIA HERREROS,-72.4938437,7.929527900000001
121,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO 28 DE FEBRERO,-72.51908829999999,7.890508199999999
125,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO NUEVO HORIZONTE,-72.54237509999999,7.895353500000001
130,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO GOVICA,-72.49189870000001,7.901447999999999
137,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO BRISAS DEL AEROPUERTO,-72.5129107,7.918124400000001
143,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO TOLEDO PLATA,-72.512798,7.940581599999999
149,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CECILIA CASTRO,-72.50640899999999,7.9167429
150,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO ZONA FRANCA,-72.49640600000001,7.9220350999999996
152,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LA LAGUNA,-72.5080387,7.8971458
153,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CUBEROS NIÑO,-72.5096557,7.872270599999999
155,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO VIRGILIO BARCO,-72.50118940000002,7.9405497
156,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO EL DESIERTO,-72.520943,7.894083
157,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO MINUTO DE DIOS,-72.5424667,7.890714200000001
164,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO BUENOS AIRES,-72.5199863,7.9304277999999995
165,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CARLOS PIZARRO,-72.50643050000001,7.9159725000000005
166,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO RUDESINDO SOTO,-72.52866920000001,7.882569500000001
167,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO PRADOS I,-72.48613540000001,7.899239200000001
168,NORTE DE SANTANDER,CÚCUTA (CT),URBANIZACION SAN ISIDRO,-72.49001940000001,7.8800927
169,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LA HERMITA,-72.5204316,7.9337664000000006
173,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO NIÑA CECI,-72.5307937,7.897303
174,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO 13 DE MARZO,-72.46685579999999,7.904897900000001
177,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO MOLINOS DEL NORTE,-72.5164243,7.9502298
178,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LAS ALMEIDAS,-72.486079,7.9064387
181,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LA UNION,-72.5080387,7.8971458
182,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO VALLES DEL RODEO,-72.53826529999999,7.877117
189,NORTE DE SANTANDER,CÚCUTA (CT),URBANIZACION SAYAGO,-72.49313959252112,7.88901315
193,NORTE DE SANTANDER,CÚCUTA (CT),AVENIDA GRAN COLOMBIA,-72.4926937,7.892533599999999
198,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO NUEVO ESCOBAL,-72.4654809,7.915968799999999
199,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CARLOS RAMIREZ PARIS,-72.5256438,7.8967292
200,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO BOCONO,-72.49640600000001,7.9220350999999996
203,NORTE DE SANTANDER,CÚCUTA (CT),URBANIZACION LA ESPERANZA,-72.4871114,7.911395
209,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO BRISAS DEL PARAISO,-72.50492840000001,7.917694
215,NORTE DE SANTANDER,CÚCUTA (CT),INVASION LA FORTALEZA,-72.55489725215537,7.903722200000001
218,NORTE DE SANTANDER,CÚCUTA (CT),URBANIZACION METROPOLIS,-72.5080387,7.8971458
222,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO GERONIMO URIBE,-72.53799709999998,7.8804083
223,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CARLOS GARCIA LOZADA,-72.50403979999999,7.9135464
224,NORTE DE SANTANDER,CÚCUTA (CT),URBANIZACION MIRADOR CAMPESTRE,-72.4909625,7.8770667
235,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CAÑO LIMON,-72.51713240000001,7.9469571
237,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LA QUINTA,-72.5223772,7.9088937
240,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO ESCALABRINI,-72.5280863,7.939996099999999
241,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO MARIA AUXILIADORA,-72.46544370000001,7.897462400000001
243,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO BOGOTA,-72.48661820000001,7.877695599999999
245,NORTE DE SANTANDER,CÚCUTA (CT),CONJUNTO RESIDENCIAL ROYAL,-72.4889651,7.914094599999999
246,NORTE DE SANTANDER,CÚCUTA (CT),URBANIZACION SAN MARTIN,-72.46944238482226,7.908423750000001
251,NORTE DE SANTANDER,CÚCUTA (CT),EXITO SAN MATEO,-72.4883367,7.8827019
252,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO BRISAS DEL PORVENIR,-72.50781440000002,7.941426299999999
264,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO MARIA PAZ,-72.5060354,7.913801400000001
269,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO BETEL,-72.54498787538839,7.9196477
280,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO EL HIGUERON,-72.46700600000001,7.9063538
287,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO BLANCO,-72.49892390000001,7.8798416
288,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CAOBOS,-72.49640600000001,7.9220350999999996
295,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LA ISLA DE LA FANTASIA,-72.46278709999999,7.9134905
296,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO ALCALA,-72.4866911,7.912751299999999
307,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO COLINAS VICTORIA,-72.5225303,7.8710664999999995
311,NORTE DE SANTANDER,CÚCUTA (CT),MARIA GRACIA,-72.54039374643267,7.882595350000001
317,NORTE DE SANTANDER,CÚCUTA (CT),CEMENTERIO,-72.50254179999999,7.8516106
326,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LA CONQUISTA,-72.5279401,7.9461756999999995
327,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LIBERTADORES,-72.49640600000001,7.9220350999999996
328,NORTE DE SANTANDER,CÚCUTA (CT),EL VIVERO,-72.5000885,7.8978667
331,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO BRISAS DE LOS ANDES,-72.5355038,7.8734595999999994
340,NORTE DE SANTANDER,CÚCUTA (CT),BRISAS DEL PARAISO,-72.50492840000001,7.917694
341,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO EL CERRITO,-72.4810989,7.953727799999999
348,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO,-72.5080387,7.8971458
352,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO VILLAS DE SAN DIEGO,-72.4646743,7.9113216
359,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LA CAROLINA,-72.46763890000001,7.880171799999999
360,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO URAPANES,-72.48602530000001,7.910518700000001
361,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CENTRO CRISTO REY,-72.50086360529966,7.877025
