,Departamento,Capital,Barrio,long,lat
65,VALLE,CALI (CT),PRADOS DE ORIENTE E11,-76.51214744265536,3.4315312
66,VALLE,CALI (CT),LA MERCED E3,-76.51271792030373,3.4801111
67,VALLE,CALI (CT),TERRON COLORADO E1,-76.56318286203593,3.45249825
68,VALLE,CALI (CT),VALLADO E15,-76.49828862392178,3.40622685
69,VALLE,CALI (CT),METROPOLITANO DEL NORTE E5,-76.49094907709484,3.4807607000000003
70,VALLE,CALI (CT),LOS ALCAZARES E6,-76.49225755894889,3.4873072
71,VALLE,CALI (CT),CHIPICHAPE E2,-76.52818199969917,3.47642885
72,VALLE,CALI (CT),LA FLORA E2,-76.52352564916156,3.4805803500000003
73,VALLE,CALI (CT),LOS CAMBULOS E19,-76.53959473175046,3.4187663999999995
74,VALLE,CALI (CT),CRISTOBAL COLON E10,-76.52630735314638,3.42316745
76,VALLE,CALI (CT),PRADOS DEL SUR E18,-76.55503709999999,3.3873835
77,VALLE,CALI (CT),LOS SAUCES E11,-76.51303875627259,3.4168942
79,VALLE,CALI (CT),LAUREANO GOMEZ E15,-76.49592522464673,3.4123910000000004
80,VALLE,CALI (CT),MARIO CORREA RENGIFO E18,-76.55754765109305,3.3878874000000003
81,VALLE,CALI (CT),SAN JUAN BOSCO E3,-76.533177986407,3.4429702000000004
82,VALLE,CALI (CT),ANGEL DEL HOGAR E7,-76.48203759636051,3.44785865
83,VALLE,CALI (CT),PRADOS DEL NORTE E2,-76.51983440000001,3.4722025000000003
85,VALLE,CALI (CT),SIETE DE AGOSTO E7,-76.48630591825993,3.4476758000000003
86,VALLE,CALI (CT),LOS LAGOS E13,-76.486634,3.429622
87,VALLE,CALI (CT),EL INGENIO E17,-76.5311104,3.3825550000000004
88,VALLE,CALI (CT),MANUELA BELTRAN E14,-76.47205149823381,3.4198938
89,VALLE,CALI (CT),CAÑAVERALES - LOS SAMANES E17,-76.52529938622435,3.4014446000000005
90,VALLE,CALI (CT),NUEVA TEQUENDAMA E19,-76.54354724950495,3.4136926
92,VALLE,CALI (CT),DESEPAZ INVICALI E21,-76.46309328495352,3.4251117
95,VALLE,CALI (CT),EL TRONCAL E8,-76.50620780819887,3.4500322
